,City,Latitude,Longitude,Date,Month,Year,Season,Temperature_(°C)_Max,Temperature_(°C)_Avg,Temperature_(°C)_Min,Humidity_(%)_Max,Humidity_(%)_Avg,Humidity_(%)_Min,Wind_Speed_(kph)_Max,Wind_Speed_(kph)_Avg,Wind_Speed_(kph)_Min,Pressure_(hPa)_Max
26,Elche,38.2851,-0.5625,2002-01-27,January,2002,winter,20.0,11.9,7.2,94.0,69.3,35.0,27.4,11.4,0.0,1026.0
27,Elche,38.2851,-0.5625,2002-01-28,January,2002,winter,17.2,9.5,2.8,93.0,79.1,52.0,11.3,5.5,0.0,1029.0
28,Elche,38.2851,-0.5625,2002-01-29,January,2002,winter,17.8,9.6,2.8,93.0,78.8,45.0,11.3,3.9,0.0,1029.0
29,Elche,38.2851,-0.5625,2002-01-30,January,2002,winter,15.0,8.9,2.8,93.0,84.6,63.0,9.7,4.0,0.0,1026.0
30,Elche,38.2851,-0.5625,2002-01-31,January,2002,winter,18.9,13.2,7.2,93.0,59.7,32.0,37.0,16.3,4.8,1008.9533328294942
31,Elche,38.2851,-0.5625,2002-02-01,February,2002,winter,17.8,11.5,3.9,87.0,61.2,32.0,22.5,7.2,0.0,1029.0
32,Elche,38.2851,-0.5625,2002-02-02,February,2002,winter,17.2,9.8,2.8,88.0,73.9,37.0,12.9,6.4,0.0,1026.0
33,Elche,38.2851,-0.5625,2002-02-03,February,2002,winter,16.1,11.6,7.2,88.0,80.3,63.0,11.3,6.9,1.6,1023.0
34,Elche,38.2851,-0.5625,2002-02-04,February,2002,winter,20.0,13.1,7.2,93.0,73.5,37.0,16.1,9.0,0.0,1023.0
35,Elche,38.2851,-0.5625,2002-02-05,February,2002,winter,21.1,14.6,8.9,82.0,64.9,43.0,22.5,13.2,0.0,1023.0
36,Elche,38.2851,-0.5625,2002-02-06,February,2002,winter,17.8,14.7,12.2,63.0,36.4,27.0,46.7,30.9,14.5,1016.0
37,Elche,38.2851,-0.5625,2002-02-07,February,2002,winter,18.9,13.2,6.1,81.0,44.6,21.0,38.6,18.2,3.2,1023.0
38,Elche,38.2851,-0.5625,2002-02-08,February,2002,winter,17.2,9.8,-0.02092997847660394,100.0,59.6,0.0,16.1,6.9,0.0,1026.0
39,Elche,38.2851,-0.5625,2002-02-09,February,2002,winter,18.9,10.7,3.9,87.0,67.2,42.0,20.9,12.1,4.8,1023.0
40,Elche,38.2851,-0.5625,2002-02-10,February,2002,winter,22.2,13.0,2.184975511435961,87.0,67.0,0.0,27.4,8.4,0.0,1019.0
41,Elche,38.2851,-0.5625,2002-02-11,February,2002,winter,17.2,11.6,5.0,100.0,77.3,55.0,11.3,5.5,0.0,1019.0
42,Elche,38.2851,-0.5625,2002-02-12,February,2002,winter,13.9,10.1,5.0,100.0,91.5,77.0,12.9,5.3,0.0,1019.0
43,Elche,38.2851,-0.5625,2002-02-13,February,2002,winter,15.0,10.9,7.8,94.0,86.9,67.0,9.7,3.9,0.0,1019.0
44,Elche,38.2851,-0.5625,2002-02-14,February,2002,winter,17.2,11.7,5.0,100.0,77.3,52.0,29.0,11.6,3.2,1013.0
45,Elche,38.2851,-0.5625,2002-02-15,February,2002,winter,15.0,10.6,7.2,76.0,46.0,27.0,25.7,10.1,0.0,1016.0
46,Elche,38.2851,-0.5625,2002-02-16,February,2002,winter,13.9,9.9,5.0,81.0,67.0,54.0,29.0,11.1,0.0,1016.0
47,Elche,38.2851,-0.5625,2002-02-17,February,2002,winter,13.9,12.1,8.9,76.0,66.5,58.0,29.0,15.1,4.8,1016.0
48,Elche,38.2851,-0.5625,2002-02-18,February,2002,winter,13.9,10.1,3.9,87.0,63.0,44.0,24.1,12.4,4.8,1023.0
49,Elche,38.2851,-0.5625,2002-02-19,February,2002,winter,15.0,9.6,2.8,81.0,60.0,41.0,20.9,10.3,0.0,1029.0
50,Elche,38.2851,-0.5625,2002-02-20,February,2002,winter,18.9,11.2,2.2,87.0,56.8,21.0,22.5,14.2,3.2,1029.0
51,Elche,38.2851,-0.5625,2002-02-21,February,2002,winter,20.0,15.6,11.1,63.0,36.1,18.0,45.1,20.6,0.0,1016.0
52,Elche,38.2851,-0.5625,2002-02-22,February,2002,winter,17.2,11.2,6.1,81.0,49.9,22.0,19.3,7.6,0.0,1019.0
53,Elche,38.2851,-0.5625,2002-02-23,February,2002,winter,22.2,11.4,-1.1258604838984247,87.0,63.1,0.0,16.1,10.6,0.0,1019.0
54,Elche,38.2851,-0.5625,2002-02-24,February,2002,winter,21.1,15.3,8.9,77.0,48.5,27.0,25.7,13.8,1.6,1016.0
55,Elche,38.2851,-0.5625,2002-02-25,February,2002,winter,17.8,11.6,5.0,94.0,70.7,45.0,11.3,5.8,0.0,1016.0
56,Elche,38.2851,-0.5625,2002-02-26,February,2002,winter,22.8,14.9,7.8,93.0,58.5,23.0,24.1,13.5,4.8,1016.0
57,Elche,38.2851,-0.5625,2002-02-27,February,2002,winter,23.9,16.7,8.9,88.0,46.3,20.0,25.7,13.0,0.0,1013.0
58,Elche,38.2851,-0.5625,2002-02-28,February,2002,winter,22.8,17.3,12.8,83.0,52.2,33.0,37.0,20.6,0.0,1013.0
59,Elche,38.2851,-0.5625,2002-03-01,March,2002,winter,20.0,14.2,8.9,88.0,70.0,46.0,16.1,8.2,0.0,1006.0
60,Elche,38.2851,-0.5625,2002-03-02,March,2002,winter,13.9,11.4,8.9,87.0,72.2,44.0,25.7,10.6,0.0,1009.0
61,Elche,38.2851,-0.5625,2002-03-03,March,2002,winter,15.0,10.3,3.9,93.0,75.7,54.0,35.4,17.4,0.0,1009.0
62,Elche,38.2851,-0.5625,2002-03-04,March,2002,winter,12.2,10.8,7.8,94.0,76.6,62.0,37.0,20.3,1.6,1009.0
63,Elche,38.2851,-0.5625,2002-03-05,March,2002,winter,17.2,11.7,6.1,87.0,57.3,0.0,41.8,22.2,4.8,1002.0
64,Elche,38.2851,-0.5625,2002-03-06,March,2002,winter,17.2,12.9,11.1,82.0,58.3,36.0,25.7,13.8,0.0,1013.0
65,Elche,38.2851,-0.5625,2002-03-07,March,2002,winter,13.9,11.4,8.9,94.0,78.5,63.0,11.3,4.8,0.0,1016.0
66,Elche,38.2851,-0.5625,2002-03-08,March,2002,winter,16.1,12.3,5.757918311953702,88.0,64.9,0.0,22.5,9.8,0.0,1016.0
67,Elche,38.2851,-0.5625,2002-03-09,March,2002,winter,20.0,13.9,8.9,87.0,69.8,37.0,14.5,6.9,0.0,1016.0
68,Elche,38.2851,-0.5625,2002-03-10,March,2002,winter,17.2,12.7,7.8,94.0,81.2,68.0,14.5,7.2,0.0,1016.0
69,Elche,38.2851,-0.5625,2002-03-11,March,2002,winter,17.2,12.2,7.2,94.0,83.1,68.0,11.3,6.1,0.0,1016.0
70,Elche,38.2851,-0.5625,2002-03-12,March,2002,winter,16.1,14.1,12.2,88.0,83.3,72.0,35.4,11.7,1.6,1013.0
71,Elche,38.2851,-0.5625,2002-03-13,March,2002,winter,18.9,13.3,7.8,87.0,67.8,52.0,29.0,10.9,0.0,1009.0
72,Elche,38.2851,-0.5625,2002-03-14,March,2002,winter,22.2,13.3,3.9,93.0,60.6,33.0,25.7,11.4,0.0,1006.0
73,Elche,38.2851,-0.5625,2002-03-15,March,2002,winter,20.0,13.9,7.2,88.0,60.6,28.0,25.7,11.9,0.0,1013.0
74,Elche,38.2851,-0.5625,2002-03-16,March,2002,winter,17.8,13.6,8.9,94.0,70.9,48.0,33.8,13.0,0.0,1009.0
75,Elche,38.2851,-0.5625,2002-03-17,March,2002,winter,20.0,15.4,10.0,76.0,45.9,23.0,33.8,19.6,4.8,1013.0
76,Elche,38.2851,-0.5625,2002-03-18,March,2002,winter,22.8,17.2,11.1,83.0,53.1,33.0,27.4,13.8,1.6,1016.0
77,Elche,38.2851,-0.5625,2002-03-19,March,2002,winter,27.2,20.9,13.9,55.0,40.3,24.0,35.4,19.6,3.2,1019.0
78,Elche,38.2851,-0.5625,2002-03-20,March,2002,winter,27.2,19.1,13.9,82.0,61.0,32.0,14.5,6.0,0.0,1023.0
79,Elche,38.2851,-0.5625,2002-03-21,March,2002,spring,23.9,16.7,8.9,88.0,68.4,44.0,12.9,5.3,0.0,1023.0
80,Elche,38.2851,-0.5625,2002-03-22,March,2002,spring,28.9,19.0,12.2,88.0,49.8,23.0,25.7,9.0,0.0,1023.0
81,Elche,38.2851,-0.5625,2002-03-23,March,2002,spring,23.9,17.3,12.8,94.0,66.3,36.0,19.3,9.8,0.0,1016.0
82,Elche,38.2851,-0.5625,2002-03-24,March,2002,spring,21.1,16.2,12.2,88.0,62.4,27.0,16.1,8.0,0.0,1016.0
83,Elche,38.2851,-0.5625,2002-03-25,March,2002,spring,18.9,14.3,8.9,88.0,69.2,46.0,19.3,7.4,0.0,1016.0
84,Elche,38.2851,-0.5625,2002-03-26,March,2002,spring,17.2,14.3,11.1,77.0,65.6,52.0,14.5,10.0,3.2,1016.0
85,Elche,38.2851,-0.5625,2002-03-27,March,2002,spring,17.2,13.1,6.1,87.0,66.2,48.0,25.7,14.8,4.8,1016.0
86,Elche,38.2851,-0.5625,2002-03-28,March,2002,spring,17.2,15.1,13.9,67.0,58.6,48.0,61.2,40.4,16.1,1013.0
87,Elche,38.2851,-0.5625,2002-03-29,March,2002,spring,18.9,14.7,12.2,88.0,59.7,43.0,32.2,18.8,8.0,1016.0
88,Elche,38.2851,-0.5625,2002-03-30,March,2002,spring,17.8,12.9,7.2,87.0,67.4,45.0,16.1,7.7,0.0,1019.0
89,Elche,38.2851,-0.5625,2002-03-31,March,2002,spring,18.9,13.7,7.2,87.0,69.7,45.0,24.1,12.7,4.8,1019.0
90,Elche,38.2851,-0.5625,2002-04-01,April,2002,spring,17.8,14.3,8.9,88.0,73.9,55.0,29.0,17.1,3.2,1013.0
91,Elche,38.2851,-0.5625,2002-04-02,April,2002,spring,16.1,13.3,10.0,88.0,71.1,55.0,40.2,21.6,4.8,1009.0
92,Elche,38.2851,-0.5625,2002-04-03,April,2002,spring,17.8,13.6,8.9,87.0,57.8,34.0,56.3,21.9,3.2,1002.0
93,Elche,38.2851,-0.5625,2002-04-04,April,2002,spring,17.8,14.4,11.1,50.0,37.8,28.0,41.8,25.7,3.2,1006.0
94,Elche,38.2851,-0.5625,2002-04-05,April,2002,spring,21.1,14.9,10.0,88.0,50.3,25.0,29.0,15.6,1.6,1006.0
95,Elche,38.2851,-0.5625,2002-04-06,April,2002,spring,20.0,14.7,10.0,94.0,79.0,60.0,25.7,7.9,0.0,999.0
96,Elche,38.2851,-0.5625,2002-04-07,April,2002,spring,17.2,13.8,12.2,88.0,74.9,59.0,22.5,8.2,1.6,1002.0
97,Elche,38.2851,-0.5625,2002-04-08,April,2002,spring,18.9,14.5,10.0,94.0,74.8,56.0,19.3,10.3,1.6,1006.0
98,Elche,38.2851,-0.5625,2002-04-09,April,2002,spring,20.0,14.2,7.8,94.0,77.5,49.0,9.7,5.3,0.0,1006.0
99,Elche,38.2851,-0.5625,2002-04-10,April,2002,spring,21.1,14.9,8.9,94.0,73.6,46.0,24.1,10.8,0.0,1006.0
100,Elche,38.2851,-0.5625,2002-04-11,April,2002,spring,18.9,14.3,7.081220787815239,88.0,75.8,0.0,27.4,15.3,4.8,992.0
101,Elche,38.2851,-0.5625,2002-04-12,April,2002,spring,16.1,12.2,5.878613240132992,88.0,64.0,0.0,37.0,16.4,0.0,992.0
102,Elche,38.2851,-0.5625,2002-04-13,April,2002,spring,21.1,15.3,11.1,82.0,63.1,35.0,25.7,13.4,0.0,1006.0
103,Elche,38.2851,-0.5625,2002-04-14,April,2002,spring,17.2,14.7,12.8,88.0,70.7,55.0,20.9,10.1,1.6,1009.0
104,Elche,38.2851,-0.5625,2002-04-15,April,2002,spring,17.2,13.4,11.1,94.0,84.8,63.0,12.9,4.7,0.0,1013.0
105,Elche,38.2851,-0.5625,2002-04-16,April,2002,spring,18.9,13.2,7.8,94.0,75.0,46.0,19.3,8.5,1.6,1013.0
106,Elche,38.2851,-0.5625,2002-04-17,April,2002,spring,20.0,14.3,7.8,93.0,72.5,49.0,14.5,9.5,4.8,1013.0
107,Elche,38.2851,-0.5625,2002-04-18,April,2002,spring,18.9,13.8,5.816364855670886,94.0,72.4,0.0,14.5,6.1,0.0,1016.0
108,Elche,38.2851,-0.5625,2002-04-19,April,2002,spring,20.0,17.1,12.8,88.0,58.1,33.0,14.5,7.2,0.0,1019.0
109,Elche,38.2851,-0.5625,2002-04-20,April,2002,spring,21.1,15.9,8.9,94.0,66.6,31.0,16.1,7.2,0.0,1019.0
110,Elche,38.2851,-0.5625,2002-04-21,April,2002,spring,21.1,16.3,10.0,88.0,71.7,49.0,38.6,12.7,0.0,1023.0
111,Elche,38.2851,-0.5625,2002-04-22,April,2002,spring,21.1,15.7,8.9,88.0,58.0,30.0,14.5,7.1,1.6,1026.0
112,Elche,38.2851,-0.5625,2002-04-23,April,2002,spring,23.9,17.2,10.0,77.0,53.6,31.0,19.3,10.6,0.0,1026.0
113,Elche,38.2851,-0.5625,2002-04-24,April,2002,spring,22.8,16.7,10.0,77.0,55.8,33.0,16.1,6.1,0.0,1019.0
114,Elche,38.2851,-0.5625,2002-04-25,April,2002,spring,25.0,17.6,10.0,82.0,57.3,28.0,14.5,6.3,0.0,1016.0
115,Elche,38.2851,-0.5625,2002-04-26,April,2002,spring,26.1,19.0,11.1,83.0,57.3,28.0,32.2,8.5,0.0,1016.0
116,Elche,38.2851,-0.5625,2002-04-27,April,2002,spring,25.0,19.4,15.0,88.0,69.9,37.0,25.7,13.2,0.0,1019.0
117,Elche,38.2851,-0.5625,2002-04-28,April,2002,spring,23.9,19.3,13.9,88.0,71.9,53.0,19.3,8.0,0.0,1013.0
118,Elche,38.2851,-0.5625,2002-04-29,April,2002,spring,22.2,18.9,17.2,88.0,78.0,57.0,22.5,12.2,0.0,1013.0
119,Elche,38.2851,-0.5625,2002-04-30,April,2002,spring,20.0,17.7,12.8,88.0,72.0,52.0,16.1,8.5,1.6,1016.0
120,Elche,38.2851,-0.5625,2002-05-01,May,2002,spring,25.0,18.5,12.8,88.0,74.4,50.0,20.9,9.2,0.0,1009.0
121,Elche,38.2851,-0.5625,2002-05-02,May,2002,spring,23.9,18.8,15.0,88.0,47.8,24.0,35.4,22.7,1.6,1002.0
122,Elche,38.2851,-0.5625,2002-05-03,May,2002,spring,17.8,13.6,10.0,82.0,57.3,34.0,32.2,17.5,3.2,1013.0
123,Elche,38.2851,-0.5625,2002-05-04,May,2002,spring,21.1,15.1,8.9,76.0,47.0,16.0,27.4,16.1,4.8,1016.0
124,Elche,38.2851,-0.5625,2002-05-05,May,2002,spring,20.0,15.4,8.9,82.0,58.5,30.0,27.4,12.4,0.0,1013.0
125,Elche,38.2851,-0.5625,2002-05-06,May,2002,spring,17.8,15.0,12.8,88.0,69.4,40.0,37.0,19.0,4.8,1009.0
126,Elche,38.2851,-0.5625,2002-05-07,May,2002,spring,17.8,14.3,12.8,94.0,76.6,59.0,35.4,16.6,3.2,1002.0
127,Elche,38.2851,-0.5625,2002-05-08,May,2002,spring,21.1,17.6,12.2,94.0,68.8,49.0,37.0,19.5,1.6,999.0
128,Elche,38.2851,-0.5625,2002-05-09,May,2002,spring,21.1,18.4,10.0,87.0,53.9,38.0,19.3,12.2,4.8,1006.0
129,Elche,38.2851,-0.5625,2002-05-10,May,2002,spring,22.8,18.7,16.1,82.0,60.7,36.0,27.4,11.3,3.2,1009.0
130,Elche,38.2851,-0.5625,2002-05-11,May,2002,spring,20.0,16.1,12.8,88.0,72.4,43.0,19.3,9.3,0.0,1013.0
131,Elche,38.2851,-0.5625,2002-05-12,May,2002,spring,23.9,17.6,11.1,88.0,60.5,33.0,29.0,12.4,0.0,1016.0
132,Elche,38.2851,-0.5625,2002-05-13,May,2002,spring,23.9,17.3,8.9,94.0,68.4,38.0,16.1,6.3,0.0,1013.0
133,Elche,38.2851,-0.5625,2002-05-14,May,2002,spring,27.8,18.9,12.8,94.0,70.4,30.0,22.5,9.0,0.0,1019.0
134,Elche,38.2851,-0.5625,2002-05-15,May,2002,spring,22.8,19.1,13.9,88.0,71.1,49.0,22.5,8.4,0.0,1019.0
135,Elche,38.2851,-0.5625,2002-05-16,May,2002,spring,25.0,20.1,13.9,82.0,57.9,28.0,29.0,14.3,0.0,1019.0
136,Elche,38.2851,-0.5625,2002-05-17,May,2002,spring,26.1,20.1,12.8,83.0,63.0,34.0,22.5,10.9,0.0,1013.0
137,Elche,38.2851,-0.5625,2002-05-18,May,2002,spring,27.2,21.4,17.8,77.0,45.5,23.0,35.4,19.6,3.2,1016.0
138,Elche,38.2851,-0.5625,2002-05-19,May,2002,spring,23.9,18.5,12.2,77.0,59.1,31.0,14.5,6.6,0.0,1019.0
139,Elche,38.2851,-0.5625,2002-05-20,May,2002,spring,23.9,18.3,10.550066901204357,88.0,48.9,0.0,19.3,8.5,0.0,1016.0
140,Elche,38.2851,-0.5625,2002-05-21,May,2002,spring,25.0,19.0,11.1,83.0,60.4,36.0,12.9,6.8,0.0,1006.0
141,Elche,38.2851,-0.5625,2002-05-22,May,2002,spring,23.9,19.9,16.1,88.0,73.7,33.0,16.1,5.6,0.0,1002.0
142,Elche,38.2851,-0.5625,2002-05-23,May,2002,spring,26.1,21.6,17.2,48.0,29.3,17.0,37.0,23.0,8.0,1013.0
143,Elche,38.2851,-0.5625,2002-05-24,May,2002,spring,28.9,21.6,13.9,60.0,33.6,20.0,33.8,15.6,1.6,1013.0
144,Elche,38.2851,-0.5625,2002-05-25,May,2002,spring,31.1,22.7,16.1,68.0,47.9,22.0,35.4,14.3,1.6,1013.0
145,Elche,38.2851,-0.5625,2002-05-26,May,2002,spring,22.8,20.2,16.1,88.0,67.7,53.0,16.1,8.2,0.0,1013.0
146,Elche,38.2851,-0.5625,2002-05-27,May,2002,spring,22.2,19.6,16.1,94.0,58.7,29.0,33.8,14.0,1.6,1013.0
147,Elche,38.2851,-0.5625,2002-05-28,May,2002,spring,23.9,19.5,13.9,94.0,70.9,27.0,14.5,7.1,0.0,1013.0
148,Elche,38.2851,-0.5625,2002-05-29,May,2002,spring,23.9,19.5,12.8,88.0,64.7,31.0,24.1,11.6,0.0,1016.0
149,Elche,38.2851,-0.5625,2002-05-30,May,2002,spring,25.0,19.6,12.820478389854344,64.0,45.6,0.0,35.4,16.4,0.0,1016.0
150,Elche,38.2851,-0.5625,2002-05-31,May,2002,spring,27.8,23.7,18.9,78.0,44.0,30.0,33.8,18.0,4.8,1016.0
151,Elche,38.2851,-0.5625,2002-06-01,June,2002,spring,27.2,24.3,21.1,68.0,42.2,30.0,37.0,17.4,1.6,1013.0
152,Elche,38.2851,-0.5625,2002-06-02,June,2002,spring,28.9,22.5,14.356573978384295,78.0,49.4,0.0,22.5,10.8,0.0,1013.0
153,Elche,38.2851,-0.5625,2002-06-03,June,2002,spring,25.0,20.8,13.71455819055172,88.0,74.0,0.0,12.9,8.0,3.2,1009.0
154,Elche,38.2851,-0.5625,2002-06-04,June,2002,spring,27.8,23.3,20.0,88.0,65.0,26.0,29.0,14.2,1.6,1006.0
155,Elche,38.2851,-0.5625,2002-06-05,June,2002,spring,27.2,21.3,13.9,83.0,46.1,24.0,46.7,15.6,1.6,1002.0
156,Elche,38.2851,-0.5625,2002-06-06,June,2002,spring,27.2,20.7,17.2,73.0,43.4,21.0,37.0,20.3,1.6,1006.0
157,Elche,38.2851,-0.5625,2002-06-07,June,2002,spring,27.8,21.0,17.2,73.0,49.4,0.0,33.8,18.0,0.0,1009.0
158,Elche,38.2851,-0.5625,2002-06-08,June,2002,spring,26.1,21.7,17.8,83.0,43.1,18.0,40.2,18.0,0.0,1009.0
159,Elche,38.2851,-0.5625,2002-06-09,June,2002,spring,28.9,22.1,16.1,46.0,29.8,14.0,29.0,17.9,4.8,1013.0
160,Elche,38.2851,-0.5625,2002-06-10,June,2002,spring,26.1,21.2,14.28396145676529,78.0,48.1,0.0,20.9,12.7,3.2,1010.4598893008736
161,Elche,38.2851,-0.5625,2002-06-11,June,2002,spring,26.1,22.0,17.2,88.0,63.3,34.0,19.3,11.4,3.2,1016.0
162,Elche,38.2851,-0.5625,2002-06-12,June,2002,spring,23.9,20.8,15.0,88.0,60.2,33.0,19.3,9.0,0.0,1016.0
163,Elche,38.2851,-0.5625,2002-06-13,June,2002,spring,27.2,22.2,16.1,63.0,45.4,26.0,22.5,12.4,3.2,1016.0
164,Elche,38.2851,-0.5625,2002-06-14,June,2002,spring,27.2,22.5,16.1,64.0,47.5,30.0,24.1,12.1,1.6,1016.0
165,Elche,38.2851,-0.5625,2002-06-15,June,2002,spring,28.9,23.3,15.0,65.0,45.0,25.0,29.0,14.8,1.6,1011.5720142018095
166,Elche,38.2851,-0.5625,2002-06-16,June,2002,spring,28.9,25.0,20.0,64.0,39.1,27.0,29.0,15.4,3.2,1013.0
167,Elche,38.2851,-0.5625,2002-06-17,June,2002,spring,28.9,24.6,17.8,64.0,42.7,21.0,29.0,13.5,0.0,1013.0
168,Elche,38.2851,-0.5625,2002-06-18,June,2002,spring,31.1,25.0,20.0,73.0,46.4,22.0,20.9,9.7,0.0,1013.0
169,Elche,38.2851,-0.5625,2002-06-19,June,2002,spring,30.0,24.4,17.8,73.0,48.7,29.0,29.0,11.6,1.6,1013.0
170,Elche,38.2851,-0.5625,2002-06-20,June,2002,spring,27.8,24.7,20.0,69.0,47.0,30.0,25.7,13.7,3.2,1016.0
171,Elche,38.2851,-0.5625,2002-06-21,June,2002,summer,31.1,25.2,17.8,73.0,43.9,22.0,19.3,10.1,0.0,1016.0
172,Elche,38.2851,-0.5625,2002-06-22,June,2002,summer,28.9,24.0,16.69352011325367,83.0,59.0,0.0,12.9,6.0,0.0,1016.0
173,Elche,38.2851,-0.5625,2002-06-23,June,2002,summer,28.9,24.7,18.9,83.0,52.1,35.0,14.5,6.8,0.0,1016.0
174,Elche,38.2851,-0.5625,2002-06-24,June,2002,summer,27.2,24.8,22.2,88.0,71.0,61.0,29.0,13.5,0.0,1013.0
175,Elche,38.2851,-0.5625,2002-06-25,June,2002,summer,27.8,25.3,22.2,78.0,68.5,58.0,38.6,19.2,4.8,1016.0
176,Elche,38.2851,-0.5625,2002-06-26,June,2002,summer,28.9,26.3,22.8,65.0,50.3,33.0,35.4,18.2,0.0,1016.0
177,Elche,38.2851,-0.5625,2002-06-27,June,2002,summer,28.9,26.6,23.9,78.0,55.5,32.0,29.0,12.4,0.0,1013.0
178,Elche,38.2851,-0.5625,2002-06-28,June,2002,summer,27.8,25.3,22.2,89.0,72.1,37.0,20.9,13.0,0.0,1013.0
179,Elche,38.2851,-0.5625,2002-06-29,June,2002,summer,26.1,24.5,23.9,89.0,72.2,61.0,22.5,16.4,4.8,1016.0
180,Elche,38.2851,-0.5625,2002-06-30,June,2002,summer,25.0,23.6,21.1,83.0,76.1,65.0,32.2,13.5,0.0,1013.0
181,Elche,38.2851,-0.5625,2002-07-01,July,2002,summer,26.1,22.6,21.1,94.0,77.6,54.0,20.9,8.4,0.0,1013.0
182,Elche,38.2851,-0.5625,2002-07-02,July,2002,summer,32.2,24.6,18.9,88.0,70.2,33.0,22.5,12.1,3.2,1009.0
183,Elche,38.2851,-0.5625,2002-07-03,July,2002,summer,32.8,25.9,16.92041400657555,94.0,61.8,0.0,24.1,10.3,0.0,1009.0
184,Elche,38.2851,-0.5625,2002-07-04,July,2002,summer,30.0,25.8,20.0,83.0,67.8,45.0,38.6,19.0,0.0,1013.0
185,Elche,38.2851,-0.5625,2002-07-05,July,2002,summer,27.2,24.4,22.8,83.0,71.6,58.0,20.9,12.7,1.6,1013.0
