Column1,dias,Date,City,Time_Temperature_(°F)_Max,Time_Temperature_(°F)_Avg,Time_Temperature_(°F)_Min,Dew_Point_(°F)_Max,Dew_Point_(°F)_Avg,Dew_Point_(°F)_Min,Humidity_(%)_Max,Humidity_(%)_Avg,Humidity_(%)_Min,Wind_Speed_(mph)_Max,Wind_Speed_(mph)_Avg,Wind_Speed_(mph)_Min,Pressure_(in)_Max,Pressure_(in)_Avg,Pressure_(in)_Min,Month,Year
1,1,1/09/2007,Elche,81,73.8,0,64,61.7,0,83,64.4,0,12,6.6,1,30,29.9,29.9,Sep,2007
22,22,22/09/2007,Elche,68,64.2,0,64,60.1,0,94,84,0,13,5,0,30,29.9,29.9,Sep,2007
13,13,13/10/2007,Elche,73,64.3,0,57,52.9,0,82,65.6,0,13,5.1,0,29.9,29.9,29.9,Oct,2007
20,20,20/10/2007,Elche,73,64.4,0,59,54.7,0,88,70,0,10,4.3,1,30,30,29.9,Oct,2007
28,28,28/10/2007,Elche,70,63.3,0,55,49.7,0,68,59.7,0,16,7.8,0,30.1,30,29.9,Oct,2007
22,22,22/11/2007,Elche,61,56.3,0,55,49.2,0,94,76.1,0,7,2.8,0,29.6,29.6,29.6,Nov,2007
27,27,27/11/2007,Elche,63,54.2,0,46,41.3,0,87,60.9,0,7,4.2,0,29.9,29.9,29.9,Nov,2007
3,3,3/12/2007,Elche,68,57.8,0,45,40,0,87,51.5,0,21,12.9,2,30.1,30,29.9,Dec,2007
17,17,17/12/2007,Elche,52,44.4,0,41,28.1,0,76,67.3,0,10,5.1,0,30.1,30,29.9,Dec,2007
22,22,22/01/2008,Elche,72,54.3,0,52,44.1,0,94,70.5,0,12,4,0,30.2,30.1,30.1,Jan,2008
8,8,8/02/2008,Elche,61,51,0,48,39.1,0,77,67.4,0,15,4.6,0,30.3,30.3,30.2,Feb,2008
11,11,11/02/2008,Elche,59,51.4,0,43,37.5,0,71,58.1,0,16,8.5,0,30.2,30.2,30.1,Feb,2008
20,20,20/02/2008,Elche,68,47.7,0,54,42.8,0,94,69.7,0,15,4.8,0,30.1,29.3,0,Feb,2008
21,21,21/02/2008,Elche,61,43.4,0,52,39.1,0,100,67.3,0,16,6.8,0,30.3,29.5,0,Feb,2008
23,23,23/02/2008,Elche,61,53,0,48,44.9,0,87,73.3,0,14,7.5,0,30.3,30.2,30.1,Feb,2008
30,30,30/10/2008,Elche,66,24,0,45,15.5,0,82,24.1,0,17,6,0,29.8,29.6,29.5,Oct,2008
1,1,1/11/2008,Elche,66,59.6,0,61,54.5,0,100,82.3,0,10,2.9,0,29.5,29.5,29.4,Nov,2008
20,20,20/11/2008,Elche,61,54.8,0,57,49,0,100,79.3,0,20,7.1,0,30.1,30,30,Nov,2008
8,8,8/12/2008,Elche,61,54,0,55,49.9,0,100,84.3,0,7,2,0,30,29.9,29.9,Dec,2008
25,25,25/12/2008,Elche,57,48.5,0,41,36.2,0,76,61.4,0,12,6.8,0,30.1,29.9,29.8,Dec,2008
16,16,16/02/2009,Elche,57,47.8,0,41,34.9,0,71,55.9,0,10,5.5,0,30.1,30.1,30,Feb,2009
10,10,10/03/2009,Elche,64,53.5,0,50,44.2,0,94,71.1,0,8,3.5,0,30.1,30.1,30,Mar,2009
30,30,30/03/2009,Elche,57,49.7,0,54,46.9,0,100,89.3,0,17,7.9,0,29.8,29.6,29.6,Mar,2009
19,19,19/04/2009,Elche,63,54.3,0,57,51.7,0,100,89.7,0,12,4.9,0,30,29.8,29.7,Apr,2009
15,15,15/05/2009,Elche,77,65.2,0,59,49,0,83,57.3,0,15,7.4,0,29.9,29.8,29.7,May,2009
14,14,14/08/2009,Elche,86,78,0,72,63.3,0,78,59.3,0,10,5,0,29.9,29.8,29.8,Aug,2009
29,29,29/01/2010,Elche,63,52.6,-2,39,34.9,-20,66,52.1,34,24,12.3,0,29.7,29.6,29.5,Jan,2010
2,2,2/05/2010,Elche,72,64.9,0,63,59.2,0,100,80.4,0,10,4.3,0,29.8,29.7,29.7,May,2010
19,19,19/08/2010,Elche,82,72.7,0,75,67.5,0,94,77.4,0,9,2.8,0,29.9,29.8,29.7,Aug,2010
27,27,27/09/2010,Elche,77,68.4,0,64,57.9,0,83,68,0,9,3.9,0,29.8,29.8,29.7,Sep,2010
12,12,12/04/2011,Elche,72,59.5,0,52,45.5,0,82,56.9,0,12,4.1,0,30.1,30.1,30,Apr,2011
28,28,28/04/2011,Elche,73,60.9,0,59,51.7,0,100,71.5,0,10,3.5,0,29.7,29.7,29.6,Apr,2011
26,26,26/09/2011,Elche,82,72.2,0,68,63.1,0,88,71.7,0,13,7.1,1,30.1,30,30,Sep,2011
22,22,22/10/2011,Elche,72,66.5,0,63,58.2,0,94,73.4,0,12,6.2,0,29.9,29.9,29.9,Oct,2011
10,10,10/11/2011,Elche,70,58,0,59,51.6,0,100,78.8,0,9,2.9,0,29.9,29.9,29.9,Nov,2011
27,27,27/09/2012,Elche,73,69.2,0,66,56.3,0,100,64.7,0,13,6.5,0,29.8,29.7,29.7,Sep,2012
12,12,12/11/2012,Elche,64,57.3,0,57,49.7,0,94,74.3,0,17,8.8,0,30,29.9,29.7,Nov,2012
7,7,7/08/2013,Elche,99,82.1,0,75,63.1,0,94,58.8,0,13,7.5,0,29.7,29.6,29.6,Aug,2013
20,20,20/02/2014,Elche,75,60.9,0,45,39.2,0,82,45.4,0,25,13.2,2,30,29.9,29.9,Feb,2014
4,4,4/03/2014,Elche,66,53,0,36,25,0,39,29.4,0,30,20.5,7,29.8,29.7,29.7,Mar,2014
19,19,19/03/2014,Elche,66,56.6,0,52,45.1,0,88,64.4,0,20,7,0,30.1,30,30,Mar,2014
26,26,26/06/2015,Elche,86,76.8,0,64,56.6,0,73,50.3,0,10,4.2,0,30.1,30,30,Jun,2015
21,21,21/07/2015,Elche,93,79.4,0,75,65.3,0,94,59.4,0,9,2.8,0,29.8,27.9,0,Jul,2015
29,29,29/07/2015,Elche,90,75.3,0,75,64.5,0,89,61.4,0,10,3.4,0,29.7,26.6,0,Jul,2015
10,10,10/08/2015,Elche,91,81.9,0,77,74,0,94,76.5,0,14,6.1,0,29.9,29.8,29.8,Aug,2015
18,18,18/09/2015,Elche,79,60.9,0,64,45.8,0,78,43.2,0,21,10.8,0,30,24.3,0,Sep,2015
7,7,7/05/2016,Elche,73,56.2,0,59,47.9,0,88,65.1,0,13,5.3,0,29.7,29.6,29.6,May,2016
18,18,18/01/2017,Elche,46,40.7,0,34,27.6,0,70,58.1,0,14,7.7,3,30,29.9,29.9,Jan,2017
2,2,2/10/2017,Elche,79,70.8,0,66,62.6,0,88,74.3,0,12,4.7,0,30.1,30,30,Oct,2017
22,22,22/01/2018,Elche,77,63.1,0,52,43.6,0,82,48.7,0,21,11.3,0,30.1,30.1,30,Jan,2018
9,9,9/05/2021,Elche,81,68.5,0,64,54.7,0,78,60.2,0,14,7.3,1,29.8,29.6,29.5,May,2021
27,27,27/01/2005,Elche,48,37.6,28,19,7.3,-2,52,30.5,13,12,6.7,1,29.8,29.7,29.7,Jan,2005
27,27,27/12/2010,Elche,55,41,28,45,28.9,18,93,65.3,24,9,3.9,0,30,30,30,Dec,2010
31,31,31/01/2005,Elche,54,41.1,28,30,24.3,18,70,53.4,30,8,4.3,1,30.2,30.2,30.1,Jan,2005
29,29,29/01/2006,Elche,50,40.1,30,34,16.5,0,81,58.9,32,13,5.8,0,29.8,29.7,29.7,Jan,2006
22,22,22/01/2011,Elche,52,40.8,30,28,20.7,14,70,45.7,26,9,4.2,0,30,30,29.9,Jan,2011
17,17,17/12/2010,Elche,55,41.8,30,30,22.8,18,69,49.4,25,14,9,6,29.9,29.6,29.4,Dec,2010
14,14,14/01/2003,Elche,57,44.6,30,36,27.9,0,86,59.2,31,8,4,0,30.4,30.4,30.3,Jan,2003
22,22,22/02/2005,Elche,61,46.8,30,30,21.8,0,75,43,17,21,10.2,2,29.6,29.6,29.5,Feb,2005
28,28,28/01/2005,Elche,50,39,32,16,6.3,1,51,28,14,22,12.1,2,29.9,29.8,29.8,Jan,2005
13,13,13/02/2012,Elche,52,40.3,32,27,11.9,0,65,34.7,13,16,6.8,0,30.1,30.1,30.1,Feb,2012
2,2,2/03/2004,Elche,52,42.7,32,28,20.8,12,65,43,22,10,5.5,0,30.3,30.2,30.1,Mar,2004
25,25,25/01/2007,Elche,52,43.4,32,30,23.3,18,64,46.4,26,12,6.9,0,29.8,29.6,29.6,Jan,2007
11,11,11/01/2019,Elche,55,43.5,32,23,21.1,18,64,43,25,10,6.6,2,30.2,30.1,30,Jan,2019
30,30,30/12/2014,Elche,55,44.6,32,32,23.2,10,66,45.5,19,12,6.2,0,30.4,30.3,30.3,Dec,2014
3,3,3/03/2004,Elche,61,45.1,32,36,22.8,0,76,47.1,20,14,6,1,30.4,30.3,30.2,Mar,2004
6,6,6/03/2008,Elche,55,45.3,32,27,16.5,9,65,33.4,16,14,7,1,30,30,29.9,Mar,2008
1,1,1/02/2005,Elche,61,45.4,32,30,22.8,0,75,49.7,20,12,7.6,3,30.2,30.1,30,Feb,2005
18,18,18/11/2007,Elche,66,47.3,32,34,20.5,0,66,39.8,15,12,7.4,3,29.9,29.8,29.7,Nov,2007
21,21,21/10/2010,Elche,70,61.8,32,57,53.3,19,88,74.2,60,10,4.5,0,30.1,30,30,Oct,2010
8,8,8/05/2006,Elche,79,67.8,32,61,53.8,0,100,64.5,39,9,5.8,0,29.9,29.1,0,May,2006
2,2,2/09/2008,Elche,88,76.7,32,68,63.6,0,100,67.2,43,10,3,0,29.9,29.2,0,Sep,2008
12,12,12/02/2012,Elche,50,40.7,34,30,17.1,5,70,40.5,23,16,6.4,0,30,30,29.9,Feb,2012
4,4,4/02/2012,Elche,50,41,34,14,7.1,1,32,25.4,17,16,11.1,2,30.2,30.1,30.1,Feb,2012
16,16,16/12/2010,Elche,52,41.8,34,27,21.2,18,65,45.3,26,13,7,0,30,30,29.9,Dec,2010
5,5,5/02/2012,Elche,50,42.2,34,39,22.9,0,87,55.4,31,24,9.8,2,30.2,30.1,30,Feb,2012
9,9,9/02/2012,Elche,54,42.4,34,30,19.8,0,75,49.4,30,9,3.8,0,30.2,30.1,30.1,Feb,2012
18,18,18/02/2003,Elche,48,42.6,34,36,27.5,0,81,57.8,43,13,5.2,1,30,30,29.9,Feb,2003
26,26,26/12/2010,Elche,54,43,34,28,22.1,16,70,45.1,30,15,9,2,30,29.9,29.9,Dec,2010
3,3,3/12/2010,Elche,54,44,34,36,18,0,87,64.2,41,24,11.9,0,30,29.8,29.7,Dec,2010
10,10,10/01/2010,Elche,54,44.2,34,41,28.2,0,93,58.3,24,16,7.3,0,29.9,29.9,29.8,Jan,2010
10,10,10/01/2009,Elche,52,44.6,34,43,32.4,0,93,69.8,54,16,7.3,0,30.1,30,29.9,Jan,2009
8,8,8/03/2005,Elche,55,44.6,34,30,23,0,75,53.1,36,13,5.7,1,30.2,30.1,30.1,Mar,2005
7,7,7/01/2005,Elche,59,45,34,43,36.2,0,93,77.3,51,7,2.6,0,30.5,30.4,30.4,Jan,2005
12,12,12/01/2019,Elche,57,45.2,34,36,25.8,18,70,47.9,33,9,5.3,0,30.3,30.2,30.2,Jan,2019
4,4,4/12/2010,Elche,54,45.4,34,39,28.8,0,81,59.5,30,14,5.1,1,30.1,30,30,Dec,2010
8,8,8/01/2005,Elche,57,45.5,34,43,34.8,0,87,76.4,55,6,2.8,0,30.4,30.4,30.3,Jan,2005
27,27,27/12/2020,Elche,59,45.5,34,34,25.3,16,70,48.3,19,14,8.8,5,30.1,29.8,29.5,Dec,2020
4,4,4/12/2017,Elche,57,45.7,34,39,28.9,18,87,54,31,12,4.9,0,30.4,30.3,30.3,Dec,2017
10,10,10/02/2012,Elche,55,45.8,34,37,24.9,0,76,51.8,28,13,6.5,0,30.1,30,29.9,Feb,2012
31,31,31/12/2004,Elche,61,45.9,34,43,30.3,0,87,68.1,42,7,4.6,2,30.3,30.2,30.2,Dec,2004
18,18,18/01/2015,Elche,57,46.1,34,46,33.2,25,93,62.3,33,7,2.9,0,30.1,29.9,29.6,Jan,2015
17,17,17/01/2022,Elche,59,46.1,34,45,38.5,30,93,76,55,7,3.6,0,30.4,30.3,30.3,Jan,2022
8,8,8/01/2020,Elche,57,46.3,34,50,42.3,32,100,86.4,71,8,4.1,0,30.3,30.2,30.2,Jan,2020
1,1,1/12/2008,Elche,57,46.4,34,34,19.2,0,87,57,36,15,8.5,2,29.7,29.7,29.6,Dec,2008
12,12,12/01/2005,Elche,59,46.4,34,45,29.3,0,87,68.3,27,12,5.4,1,30.3,30.3,30.2,Jan,2005
25,25,25/02/2006,Elche,59,46.6,34,37,29.6,25,75,53.5,29,14,6.8,0,29.8,29.7,29.6,Feb,2006
17,17,17/01/2016,Elche,57,46.9,34,39,29.1,19,81,52.7,23,12,5.9,0,30.2,30.1,30,Jan,2016
17,17,17/11/2007,Elche,61,47,34,34,19.8,0,81,48,16,10,4.8,0,30,30,29.9,Nov,2007
25,25,25/12/2004,Elche,61,47.1,34,39,18.2,0,93,60.5,36,22,10.5,5,29.8,29.6,29.4,Dec,2004
13,13,13/01/2007,Elche,64,47.1,34,46,32.8,0,87,68.8,32,8,4.3,1,30.3,30.2,30.2,Jan,2007
19,19,19/02/2012,Elche,57,47.6,34,48,38.4,0,93,78.9,58,12,4.4,0,30.1,30,30,Feb,2012
30,30,30/01/2022,Elche,66,47.9,34,43,32,23,87,58.4,23,8,5.2,2,30.3,30.2,30.1,Jan,2022
19,19,19/02/2005,Elche,63,48.1,34,30,24.2,18,81,43.2,20,17,8.1,1,30,29.9,29.8,Feb,2005
31,31,31/01/2012,Elche,63,48.2,34,39,27.9,21,70,47.9,26,13,7.7,2,30.1,30,29.9,Jan,2012
29,29,29/01/2022,Elche,64,48.3,34,45,33,25,93,58.8,26,8,4.2,1,30.4,30.3,30.3,Jan,2022
20,20,20/02/2010,Elche,61,48.9,34,41,34,0,100,64.4,27,16,8.2,1,29.8,29.7,29.6,Feb,2010
24,24,24/02/2012,Elche,63,49.3,34,43,28,0,81,50.5,23,7,2.4,0,30.2,30.2,30.2,Feb,2012
17,17,17/11/2004,Elche,63,49.8,34,43,30.4,0,81,54.8,27,7,3.5,1,30.3,30.2,30.2,Nov,2004
5,5,5/02/2011,Elche,66,50.5,34,48,34.6,0,87,65.3,30,8,3,0,30.4,30.3,30.3,Feb,2011
3,3,3/02/2012,Elche,50,40.4,36,27,17.9,3,57,42,24,22,10.3,0,30.1,29.9,29.9,Feb,2012
26,26,26/01/2005,Elche,48,40.8,36,9,2.3,-6,30,20.8,11,22,12.4,6,29.8,29.7,29.6,Jan,2005
27,27,27/12/2004,Elche,50,43.7,36,28,22.9,16,70,44.6,34,21,9.8,1,30,29.8,29.6,Dec,2004
23,23,23/01/2011,Elche,50,43.8,36,36,28.2,0,70,56,36,22,9.9,2,30,29.9,29.9,Jan,2011
18,18,18/02/2005,Elche,54,43.9,36,30,23.1,0,81,54,33,12,6.6,2,30,30,29.9,Feb,2005
7,7,7/02/2015,Elche,52,44.3,36,36,26.3,19,66,50.3,28,10,4.9,0,30,29.9,29.8,Feb,2015
7,7,7/03/2005,Elche,52,44.9,36,30,20.5,0,70,40.5,26,15,7.8,0,30.1,30,29.9,Mar,2005
28,28,28/12/2010,Elche,57,44.9,36,46,30.7,0,93,77.6,51,8,3.4,0,30,30,29.9,Dec,2010
30,30,30/01/2005,Elche,52,45.4,36,36,27.9,23,87,52.6,33,16,6.6,1,30.1,30,29.9,Jan,2005
6,6,6/01/2005,Elche,57,45.4,36,46,35.5,0,87,77.6,58,8,2.9,0,30.5,30.5,30.4,Jan,2005
15,15,15/02/2012,Elche,57,45.5,36,39,22.3,0,81,59,31,13,6.7,0,30.2,30.1,30,Feb,2012
8,8,8/02/2015,Elche,55,45.7,36,37,30.4,25,75,57.5,33,10,6.2,0,30.1,30,29.9,Feb,2015
9,9,9/03/2005,Elche,59,45.7,36,39,26.3,0,81,61.5,33,13,5.6,0,30.2,30.2,30.1,Mar,2005
10,10,10/03/2010,Elche,55,45.8,36,36,26.7,18,76,49.2,26,13,7.7,1,29.8,29.7,29.7,Mar,2010
17,17,17/02/2003,Elche,55,45.9,36,34,20.2,0,70,41.5,21,17,7.6,2,30.1,30,29.9,Feb,2003
9,9,9/01/2018,Elche,57,46,36,37,34.8,32,87,66.3,41,12,5.4,0,30,29.9,29.8,Jan,2018
14,14,14/01/2021,Elche,57,46.1,36,41,32.4,28,87,61.1,33,10,4.6,0,30.2,30.1,30,Jan,2021
3,3,3/12/2017,Elche,57,46.2,36,28,20.8,18,61,38,21,18,10.2,2,30.2,30.1,30,Dec,2017
15,15,15/12/2010,Elche,54,46.3,36,43,23.1,0,82,44.9,21,13,7.8,1,30.1,30,30,Dec,2010
12,12,12/01/2006,Elche,57,46.3,36,41,35.1,0,87,73,48,6,2.6,0,30.3,30.2,30.2,Jan,2006
5,5,5/12/2017,Elche,61,46.4,36,41,34.3,27,81,64.8,41,9,4.4,0,30.5,30.4,30.4,Dec,2017
16,16,16/01/2022,Elche,59,46.5,36,43,36.7,30,93,70.7,36,8,5,0,30.3,30.2,30.2,Jan,2022
5,5,5/01/2006,Elche,61,46.5,36,41,30.1,0,87,64.2,36,9,5.8,0,29.9,29.8,29.8,Jan,2006
14,14,14/02/2012,Elche,57,46.9,36,39,28.4,16,81,50.5,31,24,11.1,0,30.1,29.9,29.9,Feb,2012
6,6,6/01/2020,Elche,59,46.9,36,48,41.4,32,93,81.8,63,6,3.5,0,30.3,30.2,30.2,Jan,2020
18,18,18/01/2022,Elche,59,46.9,36,43,37.8,32,93,73,45,9,4.6,0,30.3,30.3,30.3,Jan,2022
2,2,2/02/2012,Elche,54,47,36,46,32.9,0,87,64.5,47,17,5.9,0,29.8,29.7,29.6,Feb,2012
14,14,14/03/2010,Elche,55,47,36,45,40.8,34,100,80,54,10,4.7,0,30.1,30.1,30.1,Mar,2010
4,4,4/01/2021,Elche,55,47,36,30,26.4,21,61,45.5,33,20,10,1,29.8,29.7,29.7,Jan,2021
2,2,2/02/2005,Elche,59,47.4,36,45,33.1,0,81,63.9,44,15,5.1,0,30.3,30.2,30.1,Feb,2005
27,27,27/12/2006,Elche,59,47.5,36,45,36.5,0,82,71.4,55,7,3.8,1,30.4,30.3,30.3,Dec,2006
9,9,9/02/2011,Elche,59,47.5,36,52,44.2,36,100,89.1,59,8,2.5,0,30.1,30,30,Feb,2011
31,31,31/12/2012,Elche,59,47.5,36,45,39,34,93,74.3,45,9,4.9,0,30.3,30.1,30,Dec,2012
28,28,28/11/2005,Elche,59,47.8,36,41,29.5,0,75,57,31,9,5.4,2,29.7,29.7,29.7,Nov,2005
7,7,7/02/2011,Elche,61,47.8,36,48,40.2,0,100,78.4,42,7,1.2,0,30.2,30.1,30.1,Feb,2011
18,18,18/12/2017,Elche,59,47.9,36,36,29.4,23,75,50.8,27,17,7.6,2,30.3,30.2,30,Dec,2017
14,14,14/12/2005,Elche,59,48,36,37,25.4,0,75,57.9,33,9,5.7,1,30,29.9,29.9,Dec,2005
